Mes,ID_Máquina,ID_Producto_principal,Días_operación,Horas_programadas,Parada_programada_h,Parada_operacional_h,Parada_no_programada_h,Tiempo_operativo_h,Cantidad_programada,Producción_total,Rechazadas_total,Aprobadas_total,%_Defectuosas,D01,D02,D03,D04,D05,D06,D07,D08,D09,ID_Defecto_principal,ID_Causa_principal,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F14,Total_eventos,Parada_NP_min,ID_Falla_principal,Paros_auto_hilo,Escalamientos,actividades_mantenimiento,actividades_correctivas,duracion_correctiva_min,reincidencias,mes_num,criticidad_amef,eventos_por_1000_piezas,parada_min_por_evento,objetivo_Total_eventos,objetivo_Parada_NP_min,objetivo_%_Defectuosas,objetivo_Escalamientos,objetivo_reincidencias,objetivo_criticidad_amef,Mes_objetivo,rank_Total_eventos,rank_Parada_NP_min,rank_%_Defectuosas,rank_Escalamientos,rank_reincidencias,rank_criticidad_amef,puntaje_riesgo_objetivo,riesgo_mes_siguiente
2025-01,M01,P03,27,270,14.17,1.38,3.32,251.13,22869,21780,419,21361,0.01923783287419651,96,14,77,53,20,26,37,16,80,D01,C09,5,8,27,6,3,2,1,9,4,3,1,0,69,199.21,F03,27,1,76,21,60.63,2,1,15060.0,3.1680440771349865,2.8871014492753626,64.0,160.97,0.024011954449425464,1.0,2.0,15470.0,2025-02,0.022727272727272728,0.05454545454545454,0.19696969696969696,0.3878787878787879,0.30303030303030304,0.06363636363636363,0.17146464646464646,bajo
2025-02,M01,P03,24,240,12.15,1.3,2.68,223.87,20365,19407,466,18941,0.024011954449425464,90,6,74,106,24,71,13,35,47,D04,C01,5,3,24,3,10,4,0,8,3,3,1,0,64,160.97,F03,24,1,63,15,37.73,2,2,15470.0,3.2977791518524247,2.51515625,86.0,280.63,0.027965007887566326,2.0,2.0,19126.0,2025-03,0.346969696969697,0.47575757575757577,0.41818181818181815,0.5621212121212121,0.30303030303030304,0.3424242424242424,0.4080808080808081,medio
2025-03,M01,P03,26,260,13.16,1.33,4.68,240.83,22070,20919,585,20334,0.027965007887566326,80,80,122,70,58,22,18,28,107,D03,C10,5,4,38,7,8,2,5,5,2,8,2,0,86,280.63,F03,38,2,73,21,68.53,2,3,19126.0,4.111095176633682,3.2631395348837207,94.0,275.76,0.028709739263803682,1.0,2.0,20154.0,2025-04,0.5424242424242425,0.46060606060606063,0.46060606060606063,0.3878787878787879,0.30303030303030304,0.4696969696969697,0.4373737373737374,medio
2025-04,M01,P03,26,260,13.16,1.4,4.6,240.85,22062,20864,599,20265,0.028709739263803682,140,71,152,59,37,46,0,19,75,D03,C01,8,3,39,13,7,5,4,8,1,5,1,0,94,275.76,F03,39,1,70,18,52.8,2,4,20154.0,4.505368098159509,2.9336170212765955,61.0,196.95,0.021691277630010088,3.0,1.0,14290.0,2025-05,0.004545454545454545,0.19393939393939394,0.11212121212121212,0.740909090909091,0.04696969696969697,0.015151515151515152,0.18560606060606058,bajo
2025-05,M01,P03,27,270,13.17,1.34,3.28,252.21,22971,21806,473,21333,0.021691277630010088,80,4,115,59,4,62,29,60,60,D03,C05,6,1,21,6,8,6,3,4,3,0,3,0,61,196.95,F03,21,3,66,13,41.97,1,5,14290.0,2.7973952123268826,3.2286885245901638,75.0,352.44,0.026118840725300116,4.0,2.0,17782.0,2025-06,0.10151515151515152,0.7181818181818181,0.3333333333333333,0.8833333333333333,0.30303030303030304,0.21818181818181817,0.4262626262626263,medio
2025-06,M01,P03,25,250,13.16,1.28,5.87,229.69,21175,19909,520,19389,0.026118840725300116,162,8,119,46,14,20,0,112,39,D01,C01,11,2,28,8,9,4,3,3,1,2,4,0,75,352.44,F03,28,4,71,20,93.98,2,6,17782.0,3.7671404892259783,4.6992,87.0,329.05,0.02410751397035053,4.0,2.0,18380.0,2025-07,0.36818181818181817,0.6606060606060606,0.2,0.8833333333333333,0.30303030303030304,0.2803030303030303,0.4492424242424243,medio
2025-07,M01,P03,27,270,13.17,1.81,5.48,249.54,22925,21653,522,21131,0.02410751397035053,52,57,132,56,10,56,5,75,79,D03,C10,5,2,37,12,5,4,5,6,2,5,4,0,87,329.05,F03,37,4,71,18,68.08,2,7,18380.0,4.017918995058421,3.782183908045977,74.0,238.63,0.025225741722803497,2.0,2.0,16900.0,2025-08,0.08787878787878788,0.3484848484848485,0.2727272727272727,0.5621212121212121,0.30303030303030304,0.14545454545454545,0.2866161616161616,bajo
2025-08,M01,P03,26,260,13.16,1.51,3.98,241.35,22051,20931,528,20403,0.025225741722803497,158,10,105,57,26,39,32,49,52,D01,C01,8,2,27,11,5,4,1,7,2,5,2,0,74,238.63,F03,27,2,71,19,61.27,2,8,16900.0,3.5354259232717022,3.2247297297297295,69.0,231.67,0.02199273283610633,1.0,1.0,16136.0,2025-09,0.03939393939393939,0.3151515151515151,0.12727272727272726,0.3878787878787879,0.04696969696969697,0.09090909090909091,0.16792929292929293,bajo
2025-09,M01,P03,26,260,13.16,1.33,3.86,241.65,22069,20916,460,20456,0.02199273283610633,57,72,103,29,53,32,8,33,73,D03,C10,3,1,28,7,11,2,3,5,1,7,1,0,69,231.67,F03,28,1,65,13,43.65,1,9,16136.0,3.2989099254159497,3.357536231884058,81.0,167.97,0.022686649250653102,1.0,1.0,17536.0,2025-10,0.21818181818181817,0.0696969696969697,0.14545454545454545,0.3878787878787879,0.04696969696969697,0.20303030303030303,0.17853535353535355,bajo
2025-10,M01,P03,27,270,14.17,1.41,2.8,251.62,22875,21819,495,21324,0.022686649250653102,114,19,160,56,3,32,0,28,83,D03,C05,7,2,38,8,9,2,2,8,1,3,1,0,81,167.97,F03,38,1,69,14,29.03,1,10,17536.0,3.7123607864705073,2.073703703703704,64.0,169.36,0.020752205846108346,1.0,1.0,14124.0,2025-11,0.022727272727272728,0.07878787878787878,0.08787878787878788,0.3878787878787879,0.04696969696969697,0.012121212121212121,0.10606060606060606,bajo
