nuevo_archivo,archivo_original,conjunto,grupo_captura
dicapri_001.jpeg,"WhatsApp Image 2026-09-15 at 3.08.18 PM (1).jpeg",train,18
dicapri_002.jpeg,"WhatsApp Image 2026-09-15 at 3.08.18 PM.jpeg",train,18
dicapri_003.jpeg,"WhatsApp Image 2026-09-15 at 3.08.19 PM (1).jpeg",val,19
dicapri_004.jpeg,"WhatsApp Image 2026-09-15 at 3.08.19 PM (2).jpeg",val,19
dicapri_005.jpeg,"WhatsApp Image 2026-09-15 at 3.08.19 PM.jpeg",val,19
dicapri_006.jpeg,"WhatsApp Image 2026-09-15 at 3.08.20 PM (1).jpeg",train,20
dicapri_007.jpeg,"WhatsApp Image 2026-09-15 at 3.08.20 PM (2).jpeg",train,20
dicapri_008.jpeg,"WhatsApp Image 2026-09-15 at 3.08.20 PM.jpeg",train,20
dicapri_009.jpeg,"WhatsApp Image 2026-09-15 at 3.08.21 PM (1).jpeg",train,21
dicapri_010.jpeg,"WhatsApp Image 2026-09-15 at 3.08.21 PM.jpeg",train,21
dicapri_011.jpeg,"WhatsApp Image 2026-09-15 at 3.08.22 PM (1).jpeg",train,22
dicapri_012.jpeg,"WhatsApp Image 2026-09-15 at 3.08.22 PM (2).jpeg",train,22
dicapri_013.jpeg,"WhatsApp Image 2026-09-15 at 3.08.22 PM.jpeg",train,22
dicapri_014.jpeg,"WhatsApp Image 2026-09-15 at 3.08.23 PM (1).jpeg",train,23
dicapri_015.jpeg,"WhatsApp Image 2026-09-15 at 3.08.23 PM.jpeg",train,23
dicapri_016.jpeg,"WhatsApp Image 2026-09-15 at 3.08.24 PM (1).jpeg",train,24
dicapri_017.jpeg,"WhatsApp Image 2026-09-15 at 3.08.24 PM.jpeg",train,24
dicapri_018.jpeg,"WhatsApp Image 2026-09-15 at 3.08.25 PM (1).jpeg",train,25
dicapri_019.jpeg,"WhatsApp Image 2026-09-15 at 3.08.25 PM (2).jpeg",train,25
dicapri_020.jpeg,"WhatsApp Image 2026-09-15 at 3.08.25 PM.jpeg",train,25
dicapri_021.jpeg,"WhatsApp Image 2026-09-15 at 3.08.26 PM (1).jpeg",train,26
dicapri_022.jpeg,"WhatsApp Image 2026-09-15 at 3.08.26 PM.jpeg",train,26
dicapri_023.jpeg,"WhatsApp Image 2026-09-15 at 3.08.27 PM (1).jpeg",val,27
dicapri_024.jpeg,"WhatsApp Image 2026-09-15 at 3.08.27 PM (2).jpeg",val,27
dicapri_025.jpeg,"WhatsApp Image 2026-09-15 at 3.08.27 PM.jpeg",val,27
dicapri_026.jpeg,"WhatsApp Image 2026-09-15 at 3.08.28 PM (1).jpeg",train,28
dicapri_027.jpeg,"WhatsApp Image 2026-09-15 at 3.08.28 PM (2).jpeg",train,28
dicapri_028.jpeg,"WhatsApp Image 2026-09-15 at 3.08.28 PM.jpeg",train,28
dicapri_029.jpeg,"WhatsApp Image 2026-09-15 at 3.08.29 PM (1).jpeg",train,29
dicapri_030.jpeg,"WhatsApp Image 2026-09-15 at 3.08.29 PM.jpeg",train,29
dicapri_031.jpeg,"WhatsApp Image 2026-09-15 at 3.08.30 PM (1).jpeg",train,30
dicapri_032.jpeg,"WhatsApp Image 2026-09-15 at 3.08.30 PM.jpeg",train,30
dicapri_033.jpeg,"WhatsApp Image 2026-09-15 at 3.08.31 PM (1).jpeg",val,31
dicapri_034.jpeg,"WhatsApp Image 2026-09-15 at 3.08.31 PM.jpeg",val,31
dicapri_035.jpeg,"WhatsApp Image 2026-09-15 at 3.08.32 PM (1).jpeg",train,32
dicapri_036.jpeg,"WhatsApp Image 2026-09-15 at 3.08.32 PM (2).jpeg",train,32
dicapri_037.jpeg,"WhatsApp Image 2026-09-15 at 3.08.32 PM.jpeg",train,32
