epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7887,2.61388,4.02281,2.61691,0.00207,0.66667,0.03495,0.01617,2.16016,5.41059,2.40842,0.00035725,0.00035725,0.00035725
2,21.8377,1.84095,3.6918,2.06945,0.00205,0.66667,0.05591,0.01706,1.78027,5.03448,2.083,0.000823268,0.000823268,0.000823268
3,32.2502,1.79856,3.51803,1.93815,0.00205,0.66667,0.05591,0.01706,1.78027,5.03448,2.083,0.0012775,0.0012775,0.0012775
4,41.9878,1.94555,3.51815,2.00813,0.00267,0.83333,0.02639,0.00923,2.32253,5.81776,2.69355,0.00137595,0.00137595,0.00137595
5,52.0118,2.05222,3.34232,1.94609,0.00267,0.83333,0.02639,0.00923,2.32253,5.81776,2.69355,0.00135826,0.00135826,0.00135826
6,61.8298,1.80284,3.33712,1.91769,0.00219,0.72222,0.01103,0.00503,2.29143,5.42258,2.83271,0.00134058,0.00134058,0.00134058
7,71.6065,1.95,2.99921,1.88357,0.00266,0.83333,0.20401,0.02957,2.63448,5.42914,2.9529,0.0013229,0.0013229,0.0013229
8,81.2349,1.81413,3.34886,1.75284,0.00266,0.83333,0.20401,0.02957,2.63448,5.42914,2.9529,0.00130521,0.00130521,0.00130521
9,91.2086,1.75854,3.16707,1.79039,0.00295,0.83333,0.22226,0.06574,2.61564,5.25406,2.85549,0.00128753,0.00128753,0.00128753
10,100.808,1.70954,3.04439,1.70017,0.00295,0.83333,0.22226,0.06574,2.61564,5.25406,2.85549,0.00126985,0.00126985,0.00126985
11,110.544,1.71976,3.13176,1.67457,0.00286,0.83333,0.05396,0.02323,2.34966,5.37367,2.40677,0.00125216,0.00125216,0.00125216
12,120.483,1.57481,3.04135,1.63964,0.00286,0.83333,0.05396,0.02323,2.34966,5.37367,2.40677,0.00123448,0.00123448,0.00123448
13,130.342,1.55377,2.98796,1.55446,0.84778,0.16667,0.30426,0.13334,2.73389,5.06568,2.58254,0.00121679,0.00121679,0.00121679
14,140.823,1.56005,2.79058,1.57708,0.00361,0.88889,0.07954,0.02646,2.23566,5.25246,2.20546,0.00119911,0.00119911,0.00119911
15,150.712,1.64533,2.7928,1.59052,0.00361,0.88889,0.07954,0.02646,2.23566,5.25246,2.20546,0.00118143,0.00118143,0.00118143
16,161.203,1.44729,2.99678,1.52455,0.76947,0.1542,0.12271,0.07219,2.09286,5.03448,2.34851,0.00116374,0.00116374,0.00116374
17,171.526,1.47304,2.4619,1.52015,0.76947,0.1542,0.12271,0.07219,2.09286,5.03448,2.34851,0.00114606,0.00114606,0.00114606
18,181.34,1.59228,2.69093,1.57713,0.81256,0.16667,0.27058,0.07372,2.30845,5.15856,2.53031,0.00112837,0.00112837,0.00112837
19,190.862,1.64227,2.65971,1.55903,0.81256,0.16667,0.27058,0.07372,2.30845,5.15856,2.53031,0.00111069,0.00111069,0.00111069
20,200.615,1.52935,2.35366,1.51655,0.82125,0.16667,0.10249,0.04319,2.35948,5.09129,2.43548,0.00109301,0.00109301,0.00109301
21,210.015,1.47927,2.44681,1.45612,0.77415,0.16667,0.12153,0.05741,2.11799,4.9634,2.32924,0.00107532,0.00107532,0.00107532
22,219.442,1.35274,2.33161,1.42647,0.77415,0.16667,0.12153,0.05741,2.11799,4.9634,2.32924,0.00105764,0.00105764,0.00105764
23,229.547,1.40298,2.25268,1.39881,0.82466,0.16667,0.12564,0.05271,2.03878,4.30951,2.1492,0.00103995,0.00103995,0.00103995
24,239.457,1.40981,2.21164,1.40127,0.82466,0.16667,0.12564,0.05271,2.03878,4.30951,2.1492,0.00102227,0.00102227,0.00102227
25,248.64,1.38044,2.30044,1.43319,0.69096,0.33333,0.31011,0.14029,2.12079,4.36923,2.41997,0.00100459,0.00100459,0.00100459
26,258.167,1.39865,2.18685,1.44196,0.69096,0.33333,0.31011,0.14029,2.12079,4.36923,2.41997,0.000986903,0.000986903,0.000986903
27,267.594,1.42041,2.03344,1.46994,0.58449,0.38889,0.24518,0.12901,2.00777,5.36533,2.54295,0.000969219,0.000969219,0.000969219
28,277.753,1.46348,2.27259,1.49279,0.81926,0.16667,0.19355,0.0811,2.20795,5.82814,2.62143,0.000951535,0.000951535,0.000951535
29,287.701,1.47502,2.06231,1.50531,0.81926,0.16667,0.19355,0.0811,2.20795,5.82814,2.62143,0.000933851,0.000933851,0.000933851
30,297.15,1.45973,2.20476,1.48926,0.94296,0.16667,0.27667,0.11798,2.02622,6.84195,2.46537,0.000916168,0.000916168,0.000916168
31,306.733,1.36146,2.40524,1.41336,0.94296,0.16667,0.27667,0.11798,2.02622,6.84195,2.46537,0.000898484,0.000898484,0.000898484
32,316.885,1.47134,2.24323,1.5249,0.45177,0.44955,0.1713,0.11172,1.90013,6.35413,2.28975,0.0008808,0.0008808,0.0008808
33,326.026,1.29248,1.84675,1.27668,0.45177,0.44955,0.1713,0.11172,1.90013,6.35413,2.28975,0.000863116,0.000863116,0.000863116
34,335.022,1.38067,1.99853,1.43962,0.93312,0.16667,0.32231,0.1304,2.03298,5.4467,2.3584,0.000845432,0.000845432,0.000845432
35,344.228,1.29511,2.01777,1.36149,0.59404,0.44444,0.42883,0.24875,2.09877,4.61541,2.32861,0.000827748,0.000827748,0.000827748
36,353.452,1.24209,1.99284,1.28629,0.59404,0.44444,0.42883,0.24875,2.09877,4.61541,2.32861,0.000810064,0.000810064,0.000810064
37,362.527,1.35545,1.95647,1.3967,0.71819,0.53694,0.43852,0.23492,2.03345,4.45926,2.28081,0.00079238,0.00079238,0.00079238
38,371.843,1.25924,1.87555,1.27843,0.71819,0.53694,0.43852,0.23492,2.03345,4.45926,2.28081,0.000774697,0.000774697,0.000774697
39,381.746,1.16782,1.66159,1.2226,0.69369,0.55556,0.36279,0.22347,1.91077,4.46544,2.18838,0.000757013,0.000757013,0.000757013
40,391.445,1.28025,1.81567,1.33495,0.69369,0.55556,0.36279,0.22347,1.91077,4.46544,2.18838,0.000739329,0.000739329,0.000739329
41,400.903,1.24948,1.83181,1.33579,0.74858,0.31417,0.32372,0.22279,1.81723,4.66831,2.12587,0.000721645,0.000721645,0.000721645
42,411.621,1.24713,1.68629,1.2476,0.58488,0.38889,0.28859,0.21467,1.65969,4.58152,1.98721,0.000703961,0.000703961,0.000703961
43,420.903,1.26456,1.73541,1.30112,0.58488,0.38889,0.28859,0.21467,1.65969,4.58152,1.98721,0.000686277,0.000686277,0.000686277
44,430.618,1.16224,1.66834,1.29487,0.6067,0.38157,0.30942,0.13752,1.80766,4.07948,2.00741,0.000668593,0.000668593,0.000668593
45,440.011,1.27768,1.90342,1.42472,0.6067,0.38157,0.30942,0.13752,1.80766,4.07948,2.00741,0.000650909,0.000650909,0.000650909
46,450.31,1.17597,1.59803,1.22939,0.66602,0.22222,0.26444,0.15497,1.69933,4.00861,2.05602,0.000633226,0.000633226,0.000633226
47,459.741,1.19843,1.58905,1.2392,0.66602,0.22222,0.26444,0.15497,1.69933,4.00861,2.05602,0.000615542,0.000615542,0.000615542
48,469.237,1.21176,1.64508,1.23424,0.62225,0.38889,0.37045,0.20057,1.57553,4.04509,1.93187,0.000597858,0.000597858,0.000597858
49,478.657,1.16723,1.65545,1.18694,0.61417,0.55556,0.30597,0.16194,1.52085,3.68962,2.00385,0.000580174,0.000580174,0.000580174
50,487.811,1.10968,1.53983,1.2043,0.61417,0.55556,0.30597,0.16194,1.52085,3.68962,2.00385,0.00056249,0.00056249,0.00056249
51,496.998,1.13664,1.62358,1.24224,0.73612,0.55556,0.42945,0.25931,1.45258,3.39389,1.84077,0.000544806,0.000544806,0.000544806
52,506.323,1.17429,1.73394,1.30167,0.73612,0.55556,0.42945,0.25931,1.45258,3.39389,1.84077,0.000527122,0.000527122,0.000527122
53,515.671,1.17181,1.66709,1.18191,0.36476,0.60476,0.5315,0.31985,1.633,3.22286,2.09718,0.000509438,0.000509438,0.000509438
54,524.9,1.23264,1.7361,1.27375,0.36476,0.60476,0.5315,0.31985,1.633,3.22286,2.09718,0.000491755,0.000491755,0.000491755
55,534.215,1.097,1.63343,1.21179,0.58296,0.72222,0.66968,0.35079,1.65986,3.24984,2.20109,0.000474071,0.000474071,0.000474071
56,543.712,1.11701,1.80636,1.25999,0.53478,0.72222,0.6918,0.35302,1.81305,3.16238,2.20174,0.000456387,0.000456387,0.000456387
57,552.886,1.10868,1.45268,1.19142,0.53478,0.72222,0.6918,0.35302,1.81305,3.16238,2.20174,0.000438703,0.000438703,0.000438703
58,562.231,1.10952,1.52736,1.18242,0.60449,0.72222,0.69623,0.34529,1.79812,3.11936,2.16032,0.000421019,0.000421019,0.000421019
59,571.625,1.0294,1.4556,1.12681,0.60449,0.72222,0.69623,0.34529,1.79812,3.11936,2.16032,0.000403335,0.000403335,0.000403335
60,580.908,1.00656,1.49673,1.13919,0.65309,0.55556,0.64219,0.32352,1.62702,3.06533,2.01087,0.000385651,0.000385651,0.000385651
61,590.071,1.07185,1.45559,1.16129,0.65309,0.55556,0.64219,0.32352,1.62702,3.06533,2.01087,0.000367967,0.000367967,0.000367967
62,599.184,1.01681,1.44823,1.14244,0.78656,0.44439,0.61555,0.29622,1.50968,3.25476,2.03303,0.000350284,0.000350284,0.000350284
63,608.753,0.94143,1.37084,1.05295,0.6127,0.44444,0.54188,0.27041,1.39115,3.43989,1.97299,0.0003326,0.0003326,0.0003326
64,619.911,0.99375,1.44949,1.16514,0.6127,0.44444,0.54188,0.27041,1.39115,3.43989,1.97299,0.000314916,0.000314916,0.000314916
65,629.977,1.09335,1.49621,1.16866,0.57279,0.4805,0.54096,0.27841,1.41645,3.5592,2.00451,0.000297232,0.000297232,0.000297232
66,639.786,0.94336,1.37499,1.11124,0.57279,0.4805,0.54096,0.27841,1.41645,3.5592,2.00451,0.000279548,0.000279548,0.000279548
67,649.262,0.8811,1.35638,1.10702,0.97567,0.16667,0.34842,0.24183,1.47256,3.62257,2.0004,0.000261864,0.000261864,0.000261864
68,659.039,0.91253,1.31322,1.07778,0.97567,0.16667,0.34842,0.24183,1.47256,3.62257,2.0004,0.00024418,0.00024418,0.00024418
69,668.867,0.89692,1.52352,1.10638,0.9745,0.16667,0.34858,0.25782,1.52762,3.58549,2.02537,0.000226497,0.000226497,0.000226497
70,678.241,0.87345,1.28121,1.06157,0.97469,0.16667,0.37196,0.26176,1.59014,3.47212,2.11874,0.000208813,0.000208813,0.000208813
71,687.868,0.95021,1.86399,1.09955,0.97469,0.16667,0.37196,0.26176,1.59014,3.47212,2.11874,0.000191129,0.000191129,0.000191129
72,697.284,1.03605,2.03969,1.30041,1,0.31083,0.45532,0.33338,1.53741,3.43938,2.07284,0.000173445,0.000173445,0.000173445
73,706.45,0.87272,1.92869,1.10535,1,0.31083,0.45532,0.33338,1.53741,3.43938,2.07284,0.000155761,0.000155761,0.000155761
74,718.909,1.02666,2.02062,1.09693,0.98288,0.33333,0.49251,0.36112,1.48025,3.44959,2.05156,0.000138077,0.000138077,0.000138077
75,729.825,0.87749,1.67675,1.0902,0.98288,0.33333,0.49251,0.36112,1.48025,3.44959,2.05156,0.000120393,0.000120393,0.000120393
76,739.766,0.93092,1.84459,1.16476,0.98691,0.33333,0.56552,0.42192,1.44868,3.4578,2.04228,0.000102709,0.000102709,0.000102709
77,749.042,0.94771,1.74658,1.1586,0.99108,0.33333,0.5644,0.42102,1.47007,3.38446,2.05094,8.50255e-05,8.50255e-05,8.50255e-05
78,758.275,0.84208,1.77072,1.03193,0.99108,0.33333,0.5644,0.42102,1.47007,3.38446,2.05094,6.73416e-05,6.73416e-05,6.73416e-05
79,767.366,0.81994,1.81615,1.03953,0.99169,0.33333,0.56426,0.42086,1.48501,3.35635,2.06143,4.96578e-05,4.96578e-05,4.96578e-05
80,776.648,0.92186,1.81715,1.07819,0.99169,0.33333,0.56426,0.42086,1.48501,3.35635,2.06143,3.19739e-05,3.19739e-05,3.19739e-05
